Rice,Date
31.09,01-01-2022
31,02-01-2022
32,03-01-2022
31.13,04-01-2022
30.91,05-01-2022
31,06-01-2022
31.3,07-01-2022
31.3,08-01-2022
30.73,09-01-2022
30.89,10-01-2022
30.6,11-01-2022
30.56,12-01-2022
31.22,13-01-2022
31.56,14-01-2022
30.89,15-01-2022
30.6,16-01-2022
31.1,17-01-2022
30.44,18-01-2022
31.4,19-01-2022
31.33,20-01-2022
30.82,21-01-2022
31.09,22-01-2022
30.8,23-01-2022
31.89,24-01-2022
31.2,25-01-2022
30.9,26-01-2022
31.2,27-01-2022
32.73,28-01-2022
32.5,29-01-2022
30.82,30-01-2022
31.3,31-01-2022
31.3,01-02-2022
30.8,02-02-2022
31.5,03-02-2022
31,04-02-2022
31.89,05-02-2022
30.33,06-02-2022
31.5,07-02-2022
31.57,08-02-2022
31.4,09-02-2022
31.4,10-02-2022
30.78,11-02-2022
30.38,12-02-2022
31.22,13-02-2022
31.36,14-02-2022
31.5,15-02-2022
31.5,16-02-2022
31.45,17-02-2022
31.6,18-02-2022
32.9,19-02-2022
31,20-02-2022
31.64,21-02-2022
31.5,22-02-2022
32.27,23-02-2022
31.89,24-02-2022
31.2,25-02-2022
30.89,26-02-2022
31.2,27-02-2022
31.7,28-02-2022
31.33,01-03-2022
31.3,02-03-2022
31.2,03-03-2022
31.64,04-03-2022
31.25,05-03-2022
31.8,06-03-2022
31.9,07-03-2022
32.22,08-03-2022
31.82,09-03-2022
32.1,10-03-2022
31.9,11-03-2022
32.11,12-03-2022
32.5,13-03-2022
32.11,14-03-2022
31.9,15-03-2022
31.82,16-03-2022
32.75,17-03-2022
31.5,18-03-2022
32.22,19-03-2022
31.22,20-03-2022
31.5,21-03-2022
31.67,22-03-2022
31.38,23-03-2022
31.5,24-03-2022
31.6,25-03-2022
31.78,26-03-2022
31.11,27-03-2022
33.09,28-03-2022
32.45,29-03-2022
33.55,30-03-2022
32,31-03-2022
33.18,01-04-2022
33,02-04-2022
33.3,03-04-2022
32.56,04-04-2022
32.91,05-04-2022
33.5,06-04-2022
33.27,07-04-2022
33,08-04-2022
33,09-04-2022
32.7,10-04-2022
32.91,11-04-2022
32.91,12-04-2022
32.91,13-04-2022
31.7,14-04-2022
32.82,15-04-2022
33,16-04-2022
33.56,17-04-2022
32.91,18-04-2022
32.82,19-04-2022
32.8,20-04-2022
31.56,21-04-2022
31.4,22-04-2022
32.3,23-04-2022
32.64,24-04-2022
33.1,25-04-2022
32.91,26-04-2022
32.64,27-04-2022
32.64,28-04-2022
32.4,29-04-2022
32.82,30-04-2022
33.09,01-05-2022
33.09,02-05-2022
33.09,03-05-2022
33.09,04-05-2022
33.27,05-05-2022
33.3,06-05-2022
33.18,07-05-2022
32.7,08-05-2022
33.09,09-05-2022
33,10-05-2022
33.09,11-05-2022
33.09,12-05-2022
33.09,13-05-2022
33.09,14-05-2022
33.4,15-05-2022
32.5,16-05-2022
33,17-05-2022
33.1,18-05-2022
33.4,19-05-2022
32.6,20-05-2022
33.09,21-05-2022
33.18,22-05-2022
33.27,23-05-2022
33.82,24-05-2022
33.82,25-05-2022
33.4,26-05-2022
33.36,27-05-2022
33.09,28-05-2022
33.09,29-05-2022
33.18,30-05-2022
33.18,31-05-2022
33,01-06-2022
33.27,02-06-2022
33.45,03-06-2022
33,04-06-2022
31.78,05-06-2022
33.36,06-06-2022
32.73,07-06-2022
33.73,08-06-2022
33.3,09-06-2022
33.82,10-06-2022
33.4,11-06-2022
33.82,12-06-2022
34.2,13-06-2022
33.55,14-06-2022
33.55,15-06-2022
33.91,16-06-2022
33.91,17-06-2022
33.82,18-06-2022
34.18,19-06-2022
33.82,20-06-2022
33.82,21-06-2022
33.82,22-06-2022
33.91,23-06-2022
34,24-06-2022
33.3,25-06-2022
33.64,26-06-2022
34.27,27-06-2022
33.45,28-06-2022
33.36,29-06-2022
33.27,30-06-2022
33.1,01-07-2022
33.6,02-07-2022
32.9,03-07-2022
32.2,04-07-2022
33,05-07-2022
33,06-07-2022
33,07-07-2022
33,08-07-2022
33,09-07-2022
32,10-07-2022
33.09,11-07-2022
33,12-07-2022
33.09,13-07-2022
32.91,14-07-2022
32.91,15-07-2022
32.73,16-07-2022
32.64,17-07-2022
33.33,18-07-2022
32.44,19-07-2022
32.55,20-07-2022
32.73,21-07-2022
32.55,22-07-2022
32.55,23-07-2022
32.5,24-07-2022
33.2,25-07-2022
32.64,26-07-2022
32.73,27-07-2022
32.55,28-07-2022
32.73,29-07-2022
32.73,30-07-2022
32.45,31-07-2022
32.36,01-08-2022
32.55,02-08-2022
32.64,03-08-2022
32.64,04-08-2022
32.55,05-08-2022
32.64,06-08-2022
32.4,07-08-2022
32.55,08-08-2022
32.73,09-08-2022
33,10-08-2022
33.11,11-08-2022
32.6,12-08-2022
32.6,13-08-2022
33,14-08-2022
32.4,15-08-2022
32.91,16-08-2022
32.82,17-08-2022
32.73,18-08-2022
32.82,19-08-2022
32.64,20-08-2022
32.2,21-08-2022
33,22-08-2022
32.91,23-08-2022
32.82,24-08-2022
32.64,25-08-2022
33,26-08-2022
33.3,27-08-2022
32.9,28-08-2022
33,29-08-2022
32.91,30-08-2022
33.3,31-08-2022
33.18,01-09-2022
33.18,02-09-2022
33.09,03-09-2022
33.09,04-09-2022
32.7,05-09-2022
33.18,06-09-2022
33.18,07-09-2022
33.36,08-09-2022
33.36,09-09-2022
33,10-09-2022
33.36,11-09-2022
33.2,12-09-2022
33.27,13-09-2022
33.36,14-09-2022
33.36,15-09-2022
33.36,16-09-2022
33.36,17-09-2022
33.36,18-09-2022
33.64,19-09-2022
33.64,20-09-2022
33.73,21-09-2022
34.2,22-09-2022
33.82,23-09-2022
33.82,24-09-2022
32.5,25-09-2022
33.82,26-09-2022
34.2,27-09-2022
33.82,28-09-2022
33.73,29-09-2022
33.73,30-09-2022
33.64,01-10-2022
33.3,02-10-2022
33.64,03-10-2022
33.55,04-10-2022
33.55,05-10-2022
33.55,06-10-2022
33,07-10-2022
32.8,08-10-2022
33.73,09-10-2022
33.82,10-10-2022
33.82,11-10-2022
33.82,12-10-2022
33.91,13-10-2022
34,14-10-2022
34,15-10-2022
34,16-10-2022
34,17-10-2022
34,18-10-2022
34.09,19-10-2022
34.18,20-10-2022
33.7,21-10-2022
34,22-10-2022
33.91,23-10-2022
33.18,24-10-2022
34,25-10-2022
34,26-10-2022
33.91,27-10-2022
33.73,28-10-2022
33.73,29-10-2022
33.91,30-10-2022
33.91,31-10-2022
33.91,01-11-2022
33.82,02-11-2022
33.91,03-11-2022
33.82,04-11-2022
33.82,05-11-2022
33.82,06-11-2022
33.82,07-11-2022
33.5,08-11-2022
33.91,09-11-2022
33.91,10-11-2022
34.09,11-11-2022
34,12-11-2022
33.89,13-11-2022
34.18,14-11-2022
34,15-11-2022
33.7,16-11-2022
34.09,17-11-2022
34.18,18-11-2022
34.18,19-11-2022
34.56,20-11-2022
34.36,21-11-2022
34.45,22-11-2022
32.78,23-11-2022
34.55,24-11-2022
34.64,25-11-2022
35,26-11-2022
35,27-11-2022
35,28-11-2022
34.2,29-11-2022
33.6,30-11-2022
34.55,01-12-2022
34.2,02-12-2022
33.64,03-12-2022
33.43,04-12-2022
33.77,05-12-2022
33.5,06-12-2022
33.29,07-12-2022
34.07,08-12-2022
34.19,09-12-2022
34.8,10-12-2022
33.87,11-12-2022
33.43,12-12-2022
33.88,13-12-2022
33.47,14-12-2022
33.56,15-12-2022
33.37,16-12-2022
33,17-12-2022
32.78,18-12-2022
32.68,19-12-2022
32.8,20-12-2022
33.06,21-12-2022
33.05,22-12-2022
33,23-12-2022
33.22,24-12-2022
33.19,25-12-2022
32.75,26-12-2022
33,27-12-2022
33.25,28-12-2022
33.14,29-12-2022
32.96,30-12-2022
33.09,31-12-2022
32.94,01-01-2023
33.58,02-01-2023
33.14,03-01-2023
33,04-01-2023
33.32,05-01-2023
33.28,06-01-2023
33.23,07-01-2023
32.59,08-01-2023
33.13,09-01-2023
32.72,10-01-2023
32.84,11-01-2023
32.92,12-01-2023
32.32,13-01-2023
32.52,14-01-2023
32.19,15-01-2023
33.04,16-01-2023
33.35,17-01-2023
32.78,18-01-2023
32.57,19-01-2023
32.3,20-01-2023
32.86,21-01-2023
32.84,22-01-2023
32.73,23-01-2023
32.35,24-01-2023
32.63,25-01-2023
32.57,26-01-2023
32.75,27-01-2023
32.7,28-01-2023
32.67,29-01-2023
32.64,30-01-2023
32.65,31-01-2023
32.74,01-02-2023
32.67,02-02-2023
33.04,03-02-2023
33.4,04-02-2023
33.25,05-02-2023
33.35,06-02-2023
33.42,07-02-2023
33.54,08-02-2023
33.3,09-02-2023
33.21,10-02-2023
33.4,11-02-2023
33.33,12-02-2023
33.09,13-02-2023
33.27,14-02-2023
32.4,15-02-2023
32.86,16-02-2023
32.95,17-02-2023
32.95,18-02-2023
32.95,19-02-2023
32.78,20-02-2023
33,21-02-2023
32.62,22-02-2023
33.18,23-02-2023
33.24,24-02-2023
33.22,25-02-2023
32.65,26-02-2023
33.48,27-02-2023
33.29,28-02-2023
33.45,01-03-2023
33.24,02-03-2023
34.63,03-03-2023
33.61,04-03-2023
33.64,05-03-2023
33.69,06-03-2023
33.92,07-03-2023
33.39,08-03-2023
33.22,09-03-2023
33.92,10-03-2023
34.26,11-03-2023
34,12-03-2023
33.59,13-03-2023
33.65,14-03-2023
33.92,15-03-2023
33.58,16-03-2023
33.42,17-03-2023
33.67,18-03-2023
33.67,19-03-2023
34.79,20-03-2023
34.27,21-03-2023
33.93,22-03-2023
33.78,23-03-2023
33.85,24-03-2023
33.62,25-03-2023
33.27,26-03-2023
33.5,27-03-2023
33.5,28-03-2023
33.59,29-03-2023
33.26,30-03-2023
33.73,31-03-2023
33.83,01-04-2023
33.52,02-04-2023
34.27,03-04-2023
33.89,04-04-2023
33.84,05-04-2023
35,06-04-2023
34.37,07-04-2023
34.38,08-04-2023
34.14,09-04-2023
34.8,10-04-2023
35.07,11-04-2023
35.1,12-04-2023
35.24,13-04-2023
35.16,14-04-2023
34.8,15-04-2023
33.6,16-04-2023
35.09,17-04-2023
35.47,18-04-2023
35.48,19-04-2023
35.12,20-04-2023
34.34,21-04-2023
34.21,22-04-2023
34.04,23-04-2023
34.64,24-04-2023
34.77,25-04-2023
35.43,26-04-2023
34.06,27-04-2023
34.5,28-04-2023
33.77,29-04-2023
33.5,30-04-2023
34.7,01-05-2023
35.03,02-05-2023
34.21,03-05-2023
34.06,04-05-2023
33.61,05-05-2023
34,06-05-2023
33.79,07-05-2023
34.42,08-05-2023
34.77,09-05-2023
35.24,10-05-2023
35.19,11-05-2023
34.68,12-05-2023
34.03,13-05-2023
34.66,14-05-2023
35.38,15-05-2023
34.89,16-05-2023
34.81,17-05-2023
35.18,18-05-2023
35.03,19-05-2023
35.1,20-05-2023
34.71,21-05-2023
35.31,22-05-2023
34.61,23-05-2023
35.19,24-05-2023
35.24,25-05-2023
35.19,26-05-2023
34.3,27-05-2023
34,28-05-2023
34.94,29-05-2023
35.44,30-05-2023
35.74,31-05-2023
35.18,01-06-2023
35.85,02-06-2023
35.38,03-06-2023
34.87,04-06-2023
36.02,05-06-2023
35.73,06-06-2023
35.13,07-06-2023
36.05,08-06-2023
36.4,09-06-2023
35.9,10-06-2023
35.61,11-06-2023
35.98,12-06-2023
36.05,13-06-2023
36.21,14-06-2023
35.85,15-06-2023
35.9,16-06-2023
35.47,17-06-2023
36.24,18-06-2023
35.36,19-06-2023
35.48,20-06-2023
35.42,21-06-2023
35.25,22-06-2023
35.65,23-06-2023
35.39,24-06-2023
35.51,25-06-2023
35.73,26-06-2023
35.62,27-06-2023
35.78,28-06-2023
35.85,29-06-2023
35.39,30-06-2023
35.33,01-07-2023
35.6,02-07-2023
35.44,03-07-2023
35.35,04-07-2023
35.9,05-07-2023
36.45,06-07-2023
35.55,07-07-2023
35.53,08-07-2023
35.16,09-07-2023
35.44,10-07-2023
35.93,11-07-2023
35.85,12-07-2023
35.7,13-07-2023
35.83,14-07-2023
35.17,15-07-2023
35.65,16-07-2023
35.41,17-07-2023
36,18-07-2023
35.77,19-07-2023
35.66,20-07-2023
35.58,21-07-2023
35.76,22-07-2023
35.81,23-07-2023
35.64,24-07-2023
35.8,25-07-2023
35.72,26-07-2023
35.78,27-07-2023
36.19,28-07-2023
36.02,29-07-2023
36.15,30-07-2023
35.62,31-07-2023
35.91,01-08-2023
36.14,02-08-2023
35.98,03-08-2023
35.89,04-08-2023
35.97,05-08-2023
35.55,06-08-2023
35.73,07-08-2023
35.77,08-08-2023
36.21,09-08-2023
35.98,10-08-2023
36.51,11-08-2023
36.1,12-08-2023
36.47,13-08-2023
36.17,14-08-2023
36.52,15-08-2023
36.54,16-08-2023
36.22,17-08-2023
36.41,18-08-2023
36.13,19-08-2023
36.23,20-08-2023
36.17,21-08-2023
36.37,22-08-2023
36.21,23-08-2023
36.21,24-08-2023
36.42,25-08-2023
36.38,26-08-2023
36.68,27-08-2023
36.7,28-08-2023
36.69,29-08-2023
36.66,30-08-2023
36.84,31-08-2023
36.64,01-09-2023
36.1,02-09-2023
36.54,03-09-2023
37.19,04-09-2023
37.07,05-09-2023
37.13,06-09-2023
36.38,07-09-2023
37.42,08-09-2023
36.62,09-09-2023
36.74,10-09-2023
37.24,11-09-2023
37.27,12-09-2023
37.45,13-09-2023
37.49,14-09-2023
37.67,15-09-2023
37.35,16-09-2023
37.74,17-09-2023
37.96,18-09-2023
38.05,19-09-2023
38,20-09-2023
38.32,21-09-2023
38.23,22-09-2023
37.69,23-09-2023
37.82,24-09-2023
38.05,25-09-2023
37.89,26-09-2023
37.87,27-09-2023
37.63,28-09-2023
37.67,29-09-2023
37.98,30-09-2023
37.7,01-10-2023
37.97,02-10-2023
37.86,03-10-2023
38.29,04-10-2023
38.33,05-10-2023
38.14,06-10-2023
37.95,07-10-2023
37.89,08-10-2023
38.15,09-10-2023
37.85,10-10-2023
37.75,11-10-2023
38.02,12-10-2023
37.96,13-10-2023
37.9,14-10-2023
37.92,15-10-2023
38,16-10-2023
38.33,17-10-2023
37.89,18-10-2023
37.94,19-10-2023
37.98,20-10-2023
38.14,21-10-2023
38.05,22-10-2023
37.64,23-10-2023
37.7,24-10-2023
37.65,25-10-2023
37.34,26-10-2023
37.65,27-10-2023
37.98,28-10-2023
37.42,29-10-2023
37.72,30-10-2023
37.82,31-10-2023
37.96,01-11-2023
37.87,02-11-2023
38.2,03-11-2023
37.8,04-11-2023
38.23,05-11-2023
38.08,06-11-2023
38.13,07-11-2023
38.09,08-11-2023
38.4,09-11-2023
38.26,10-11-2023
38.15,11-11-2023
38.7,12-11-2023
38.42,13-11-2023
38.23,14-11-2023
38.36,15-11-2023
38.38,16-11-2023
38.49,17-11-2023
38.32,18-11-2023
38.59,19-11-2023
38.24,20-11-2023
38.17,21-11-2023
38.23,22-11-2023
38.44,23-11-2023
38.59,24-11-2023
38.48,25-11-2023
38.66,26-11-2023
38.22,27-11-2023
38.45,28-11-2023
38.53,29-11-2023
38.42,30-11-2023
38.59,01-12-2023
38.43,02-12-2023
38.53,03-12-2023
38.51,04-12-2023
38.53,05-12-2023
38.91,06-12-2023
38.7,07-12-2023
38.77,08-12-2023
38.6,09-12-2023
39.29,10-12-2023
38.64,11-12-2023
39.02,12-12-2023
38.94,13-12-2023
38.77,14-12-2023
39.04,15-12-2023
39.33,16-12-2023
39.38,17-12-2023
39.17,18-12-2023
39.29,19-12-2023
39.13,20-12-2023
39.17,21-12-2023
39.24,22-12-2023
38.72,23-12-2023
38.95,24-12-2023
39.02,25-12-2023
38.87,26-12-2023
38.98,27-12-2023
38.96,28-12-2023
38.92,29-12-2023
38.66,30-12-2023
39.05,31-12-2023
